vid,wer,survival,chars
d00_body_C1_clean,0.1959,1.0,798
d00_footer_C2_clean,0.2371,1.0,827
d00_margin_C3_clean,0.2268,0.419,804
d00_watermark_C4_clean,0.134,0.355,750
d00_whiteonwhite_C5_clean,0.1856,0.458,753
d00_microfont_C6_clean,0.1649,0.407,768
d01_body_C2_clean,0.2441,1.0,1046
d01_footer_C3_clean,0.252,1.0,1025
d01_margin_C4_clean,0.2441,0.411,1024
d01_watermark_C5_clean,0.1811,0.5,969
d01_whiteonwhite_C6_clean,0.1811,0.441,969
d01_microfont_C1_clean,0.2047,0.622,1009
d02_body_C3_clean,0.1907,1.0,1455
d02_footer_C4_clean,0.201,1.0,1456
d02_margin_C5_clean,0.1701,0.5,1424
d02_watermark_C6_clean,0.1495,0.407,1399
d02_whiteonwhite_C1_clean,0.1495,0.422,1400
d02_microfont_C2_clean,0.1856,0.686,1468
d03_body_C4_clean,0.2846,1.0,1015
d03_footer_C5_clean,0.2439,1.0,982
d03_margin_C6_clean,0.252,0.407,987
d03_watermark_C1_clean,0.2114,0.467,958
d03_whiteonwhite_C2_clean,0.2276,0.386,958
d03_microfont_C3_clean,0.2276,0.4,993
d04_body_C5_clean,0.1485,1.0,751
d04_footer_C6_clean,0.1881,1.0,755
d04_margin_C1_clean,0.2178,0.444,775
d04_watermark_C2_clean,0.1386,0.371,725
d04_whiteonwhite_C3_clean,0.1188,0.381,727
d04_microfont_C4_clean,0.1386,0.467,766
d05_body_C6_clean,0.1855,1.0,985
d05_footer_C1_clean,0.2258,1.0,1005
d05_margin_C2_clean,0.25,0.486,1030
d05_watermark_C3_clean,0.1613,0.4,956
d05_whiteonwhite_C4_clean,0.1452,0.393,956
d05_microfont_C5_clean,0.1694,0.458,970
d06_body_C1_clean,0.1915,1.0,1439
d06_footer_C2_clean,0.2074,1.0,1467
d06_margin_C3_clean,0.1968,0.419,1444
d06_watermark_C4_clean,0.1543,0.449,1390
d06_whiteonwhite_C5_clean,0.1543,0.5,1390
d06_microfont_C6_clean,0.1649,0.407,1410
d07_body_C2_clean,0.2951,1.0,1016
d07_footer_C3_clean,0.3033,1.0,994
d07_margin_C4_clean,0.3115,0.374,999
d07_watermark_C5_clean,0.2295,0.458,939
d07_whiteonwhite_C6_clean,0.2295,0.407,939
d07_microfont_C1_clean,0.1803,0.378,973
d08_body_C3_clean,0.1935,1.0,744
d08_footer_C4_clean,0.2581,1.0,743
d08_margin_C5_clean,0.1935,0.5,711
d08_watermark_C6_clean,0.1075,0.407,689
